sentence,word_labels
Mount Eiger in Switzerland is notorious for its challenging north face climb.,"B,I,O,O,O,O,O,O,O,O,O,O,O"
The Glass House Mountains in Australia were named by Captain James Cook.,"O,B,I,I,O,O,O,O,O,O,O,O,O"
Mount Hood in Oregon is a popular skiing destination.,"B,I,O,O,O,O,O,O,O,O"
The Smoky Mountains are renowned for their mist-covered peaks.,"O,B,I,O,O,O,O,O,O,O,O,O"
Mount Arapiles in Australia is a rock climbing mecca.,"B,I,O,O,O,O,O,O,O,O"
The Green Mountains in Vermont are a part of the Appalachian range.,"O,B,I,O,O,O,O,O,O,O,O,O,O"
Mount Pinatubo in the Philippines is famous for its 1991 eruption.,"B,I,O,O,O,O,O,O,O,O,O,O"
The Wicklow Mountains in Ireland are known for their scenic beauty and ancient history.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O,O"
Mount Pelée in Martinique is infamous for its deadly 1902 eruption.,"B,I,O,O,O,O,O,O,O,O,O,O"
The Franklin Mountains in Texas offer stunning desert landscapes.,"O,B,I,O,O,O,O,O,O,O"
Mount Mansfield is the highest mountain in Vermont.,"B,I,O,O,O,O,O,O,O"
The Troodos Mountains in Cyprus are rich in copper and history.,"O,B,I,O,O,O,O,O,O,O,O,O"
Mount Kinabalu in Malaysia is a prominent biodiversity hotspot.,"B,I,O,O,O,O,O,O,O,O"
The Pindus Mountains in Greece are known as the 'spine of Greece'.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O,O"
Mount Tyree is the second highest peak in Antarctica.,"B,I,O,O,O,O,O,O,O,O"
The Simien Mountains in Ethiopia are home to unique wildlife.,"O,B,I,O,O,O,O,O,O,O,O"
Mount Damavand in Iran is the highest volcano in Asia.,"B,I,O,O,O,O,O,O,O,O,O"
The Gasherbrum range in the Himalayas includes several high peaks.,"O,B,O,O,O,B,O,O,O,O,O"
Mount Kangchenjunga is revered by the people of Sikkim and Darjeeling.,"B,I,O,O,O,O,O,O,O,O,O,O"
"The Bitterroot Range spans Idaho and Montana, offering rugged wilderness.","O,B,I,O,O,O,O,O,O,O,O,O"
Mount Shishapangma is one of the lesser-known 8000-meter peaks in Tibet.,"B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
The Sawtooth Range in Idaho is known for its jagged peaks and pristine lakes.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O,O"
Mount Annapurna in Nepal is considered one of the most dangerous to climb.,"B,I,O,O,O,O,O,O,O,O,O,O,O,O"
The San Juan Mountains in Colorado are known for their stunning beauty.,"O,B,I,I,O,O,O,O,O,O,O,O,O"
Mount Monadnock in New Hampshire is famous for its isolated standing.,"B,I,O,O,O,O,O,O,O,O,O,O"
The Wuling Mountains in China offer breathtaking views and rich history.,"O,B,I,O,O,O,O,O,O,O,O,O"
"Mount Nanga Parbat is notoriously challenging, earning the nickname 'Killer Mountain'.","B,I,I,O,O,O,O,O,O,O,O,O,O,O,O"
The Brooks Range in Alaska is one of the most remote mountain ranges in the world.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
Mount Dhaulagiri was once thought to be the highest mountain in the world.,"B,I,O,O,O,O,O,O,O,O,O,O,O,O"
The Lofoten Islands in Norway are known for their dramatic mountainous landscapes.,"O,B,I,O,O,O,O,O,O,O,O,O,O"
Mount Cho Oyu is known for being the easiest eight-thousander to climb.,"B,I,I,O,O,O,O,O,O,O,O,O,O,O,O"
The Sierra de la Laguna in Mexico are a unique mountain range in Baja California.,"O,B,I,I,I,O,O,O,O,O,O,O,O,O,O,O"
Mount Manaslu in Nepal is known as the 'mountain of the spirit'.,"B,I,O,O,O,O,O,O,O,O,O,O,O,O,O"
The Superstition Mountains in Arizona are shrouded in myths and legends.,"O,B,I,O,O,O,O,O,O,O,O,O"
Mount Wilhelm is the highest peak in Papua New Guinea.,"B,I,O,O,O,O,O,O,O,O,O"
"The Langtang Range in Nepal is a lesser-known, yet stunning, Himalayan range.","O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
Mount Makalu is an isolated peak in the Himalayas with a distinctive pyramid shape.,"B,I,O,O,O,O,O,O,B,O,O,O,O,O,O"
The Huachuca Mountains in Arizona are a haven for birdwatchers and hikers.,"O,B,I,O,O,O,O,O,O,O,O,O,O"
Mount Logan in Canada is the second highest peak in North America.,"B,I,O,O,O,O,O,O,O,O,O,O,O"
The Serra dos Órgãos range in Brazil is known for its organ pipe-like rock formations.,"O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
Mount Broad Peak in the Karakoram Range is known for its extensive summit.,"B,I,I,O,O,B,O,O,O,O,O,O,O,O"
The Ruby Mountains in Nevada are a hidden gem known for their alpine lakes.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O,O"
Mount Lhotse is known for its proximity to Mount Everest.,"B,I,O,O,O,O,O,O,B,I,O"
The Teton Range in Wyoming is famous for its rugged and dramatic peaks.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O"
Mount Gurla Mandhata in Tibet is a sacred mountain near Lake Manasarovar.,"B,I,I,O,O,O,O,O,O,O,O,O,O"
The Santa Monica Mountains in California offer a scenic backdrop to Los Angeles.,"O,B,I,I,O,O,O,O,O,O,O,O,O,O"
Mount Fitz Roy on the border of Argentina and Chile is a stunning Patagonian peak.,"B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O"
The Taebaek Mountains are a prominent mountain range in South Korea.,"O,B,I,O,O,O,O,O,O,O,O,O"
Mount Baker in Washington State is known for its heavy snowfall.,"B,I,O,O,O,O,O,O,O,O,O,O"
The Ozark Mountains span across multiple states in the central United States.,"O,B,I,O,O,O,O,O,O,O,O,O,O"
Mount Aspiring in New Zealand is a popular destination for climbers.,"B,I,O,O,O,O,O,O,O,O,O,O"
The Sierra Nevada de Santa Marta in Colombia are the world's highest coastal range.,"O,B,I,I,I,I,O,O,O,O,O,O,O,O,O,O,O"
"Mount Cook, also known as Aoraki, is a prominent peak in the Southern Alps of New Zealand.","B,I,O,O,O,O,B,O,O,O,O,O,O,O,B,I,O,O,O,O"
The Cascade Mountains are a major mountain range in the Pacific Northwest.,"O,B,I,O,O,O,O,O,O,O,O,O,O"
Mount Kazbek in the Caucasus is a dormant stratovolcano.,"B,I,O,O,O,O,O,O,O,O"
The Altai Mountains in Central Asia are a region of diverse wildlife and natural beauty.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O"
Mount Kinabalu in Borneo is famous for its diverse and unique flora.,"B,I,O,O,O,O,O,O,O,O,O,O,O"
The Carpathians in Eastern Europe are known for their forests and mountainous landscapes.,"O,B,O,O,O,O,O,O,O,O,O,O,O,O"
Mount Kilimanjaro in Tanzania is a dormant volcano and Africa's highest peak.,"B,I,O,O,O,O,O,O,O,O,O,O,O,O,O"
The Julian Alps in Slovenia and Italy are named after Julius Caesar.,"O,B,I,O,O,O,O,O,O,O,O,O,O"
Mount Elbrus in the Caucasus Mountains is Europe's highest peak.,"B,I,O,O,B,I,O,O,O,O,O,O,O"
The Wasatch Range in Utah is known for its excellent skiing conditions.,"O,B,I,O,O,O,O,O,O,O,O,O,O"
Mount Rainier in Washington is an iconic part of the Pacific Northwest's landscape.,"B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
The Sangre de Cristo Mountains in New Mexico are part of the Rocky Mountains.,"O,B,I,I,I,O,O,O,O,O,O,O,B,I,O"
Mount Erebus in Antarctica is the world's southernmost active volcano.,"B,I,O,O,O,O,O,O,O,O,O,O,O"
The Adirondack Mountains in New York are a popular destination for outdoor enthusiasts.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O"
Mount Hood in Oregon is a potentially active stratovolcano.,"B,I,O,O,O,O,O,O,O,O"
"The Blue Ridge Mountains, part of the Appalachians, are known for their bluish color when seen from a distance.","O,B,I,I,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O"
Mount Bromo in Indonesia is part of the Tengger massif.,"B,I,O,O,O,O,O,O,O,O,O"
The Drakensberg in South Africa is the highest mountain range in Southern Africa.,"O,B,O,O,O,O,O,O,O,O,O,O,O,O"
Mount Logan is the highest peak in Canada's Yukon Territory.,"B,I,O,O,O,O,O,O,O,O,O,O,O"
The Sierra Madre Occidental in Mexico is known for its deep canyons and diverse ecosystems.,"O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O"
"Mount Fuji, Japan's tallest peak, is a cultural icon and pilgrimage site.","B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
The Dolomites in Italy are part of the Southern Limestone Alps.,"O,B,O,O,O,O,O,O,O,O,B,O"
"Mount Vesuvius near Naples, Italy, is one of Europe's most active volcanoes.","B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
The Green Mountains in Vermont are a popular destination for hiking and skiing.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O"
"Mount Everest, the world's highest peak, is located in the Himalayas on the border of Nepal and Tibet.","B,I,O,O,O,O,O,O,O,O,O,O,O,O,B,O,O,O,O,O,O,O,O"
"The Tian Shan mountains, spanning Central Asia, are among the tallest in the world.","O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
Mount Kilimanjaro's snowy summit is a renowned sight in Tanzania.,"B,I,O,O,O,O,O,O,O,O,O,O,O"
The Pocono Mountains in Pennsylvania are a popular recreational destination.,"O,B,I,O,O,O,O,O,O,O,O"
Mount Ararat in Turkey is fabled to be the resting place of Noah's Ark.,"B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
The Catskill Mountains in New York are known for their natural beauty and outdoor activities.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Mount Cook, or Aoraki, is the highest mountain in New Zealand.","B,I,O,O,B,O,O,O,O,O,O,O,O,O"
"The Black Forest mountains in Germany are famous for their dense, evergreen forests and picturesque villages.","O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
Mount Etna in Sicily is one of the most active volcanoes in the world.,"B,I,O,O,O,O,O,O,O,O,O,O,O,O,O"
The Sierra Nevada in California is known for its stunning landscapes and diverse ecosystems.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O,O"
Mount Rainier in Washington State is a prominent landmark of the Pacific Northwest.,"B,I,O,O,O,O,O,O,O,O,O,O,O,O"
The Guadalupe Mountains in Texas are known for their rugged beauty and ancient fossil reefs.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O"
Mount Merapi in Indonesia is one of the most active volcanoes in the world.,"B,I,O,O,O,O,O,O,O,O,O,O,O,O,O"
"The Chugach Mountains in Alaska are renowned for their rugged, unspoiled wilderness.","O,B,I,O,O,O,O,O,O,O,O,O,O,O"
"Mount McKinley, also known as Denali, is the highest peak in North America.","B,I,O,O,O,O,B,O,O,O,O,O,O,O,O,O"
"The Himalayas, home to Mount Everest, are the highest mountain range in the world.","O,B,O,O,O,B,I,O,O,O,O,O,O,O,O,O,O"
"Mount Vesuvius near Naples, Italy, is famous for its historic eruptions.","B,I,O,O,O,O,O,O,O,O,O,O,O,O"
"The Andes, stretching along South America, are the longest continental mountain range in the world.","O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Mount Fuji, a symbol of Japan, is known for its perfectly symmetrical volcanic cone.","B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"The Rockies, or Rocky Mountains, are a major mountain range in western North America.","O,B,O,O,B,I,O,O,O,O,O,O,O,O,O,O,O"
Mount St. Helens in Washington is known for its catastrophic eruption in 1980.,"B,I,I,I,O,O,O,O,O,O,O,O,O,O,O"
"The Appalachian Mountains, running along the eastern United States, are among the oldest mountains in the world.","O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
Mount Kilimanjaro is the highest free-standing mountain in the world.,"B,I,O,O,O,O,O,O,O,O,O,O,O"
"The Alps, a major mountain range in Europe, are known for their stunning beauty and skiing resorts.","O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
Mount Olympus in Greece is famous as the mythical home of the Greek gods.,"B,I,O,O,O,O,O,O,O,O,O,O,O,O,O"
The Ural Mountains in Russia form a natural boundary between Europe and Asia.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O"
"Mount Elbrus, located in the Caucasus Mountains, is the highest peak in Europe.","B,I,O,O,O,O,B,I,O,O,O,O,O,O,O,O"
The Pyrenees mountain range forms a natural border between France and Spain.,"O,B,O,O,O,O,O,O,O,O,O,O,O"
"Mount K2, located on the China-Pakistan border, is the second-highest mountain in the world.","B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
The Drakensberg Mountains in South Africa are known for their spectacular scenery.,"O,B,I,O,O,O,O,O,O,O,O,O,O"
Mount Aconcagua in Argentina is the highest mountain in both the Southern and Western Hemispheres.,"B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"The Pennine Alps, a segment of the Alps mountain range, are known for their stunning peaks.","O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Mount Logan, Canada's highest peak, is situated in the Yukon.","B,I,O,O,O,O,O,O,O,O,O,O,O,O,O"
The Atlas Mountains in North Africa are known for their rich Berber culture and diverse landscapes.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
Mount Parnassus in Greece is famed for its historical and mythological significance.,"B,I,O,O,O,O,O,O,O,O,O,O,O"
The Snowy Mountains in Australia are a popular skiing destination.,"O,B,I,O,O,O,O,O,O,O,O"
Mount Erebus is the most active volcano in Antarctica.,"B,I,O,O,O,O,O,O,O,O"
The Sierra Madre Oriental range in Mexico is known for its diverse ecosystems.,"O,B,I,I,O,O,O,O,O,O,O,O,O,O"
"Mount Hood, located in Oregon, is a potentially active stratovolcano.","B,I,O,O,O,O,O,O,O,O,O,O,O"
"The Karakoram range, home to K2, spans the borders of Pakistan, India, and China.","O,B,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O"
Mount Shasta in California is a prominent volcano in the Cascade Range.,"B,I,O,O,O,O,O,O,O,O,B,I,O"
The Hindu Kush mountains in Afghanistan and Pakistan are a historically significant range.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O"
Mount Pelée in Martinique is famous for its devastating eruption in 1902.,"B,I,O,O,O,O,O,O,O,O,O,O,O"
The Zagros Mountains in Iran are known for their geological diversity and ancient history.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O,O"
Mount Kilimanjaro in Tanzania is Africa's tallest peak and a dormant volcano.,"B,I,O,O,O,O,O,O,O,O,O,O,O,O,O"
The White Mountains in New Hampshire are a part of the Appalachian range.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O"
"Mount Fuji, Japan's iconic peak, is a pilgrimage site for many.","B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"The Great Smoky Mountains, located in the southeastern United States, are a UNESCO World Heritage Site.","O,B,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
Mount Elbrus in Russia is considered the highest peak in Europe.,"B,I,O,O,O,O,O,O,O,O,O,O"
The Sierra Nevada range in Spain is known for its high peaks and alpine climate.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Mount St. Helens, famous for its 1980 eruption, is located in Washington State.","B,I,I,I,O,O,O,O,O,O,O,O,O,O,O,O,O"
The Dolomites in northern Italy are a part of the Southern Limestone Alps.,"O,B,O,O,O,O,O,O,O,O,O,O,B,O"
"Mount Rainier is an iconic and potentially active volcano in Washington, USA.","B,I,O,O,O,O,O,O,O,O,O,O,O,O"
The Pyrenees mountains form a natural border between France and Spain.,"O,B,O,O,O,O,O,O,O,O,O,O"
"Mount Ararat, located in Turkey, is a significant peak in Armenian culture and history.","B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"The Carpathian Mountains, spanning Central and Eastern Europe, are rich in folklore and natural beauty.","O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Mount Everest, located in the Himalayas, is the highest point on Earth.","B,I,O,O,O,O,B,O,O,O,O,O,O,O,O"
The Rocky Mountains are one of the major mountain ranges in North America.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O"
Mount Kosciuszko is the highest peak on the Australian mainland.,"B,I,O,O,O,O,O,O,O,O,O"
The Ural Mountains in Russia separate Europe and Asia geographically.,"O,B,I,O,O,O,O,O,O,O,O"
Mount Aconcagua in Argentina is the highest mountain in the Americas.,"B,I,O,O,O,O,O,O,O,O,O,O"
The Bernese Alps in Switzerland are known for their picturesque villages and stunning peaks.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O,O"
"Mount Chimborazo in Ecuador, due to its location on the equatorial bulge, is the farthest point from the Earth's center.","B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"The Tatra Mountains, located on the border of Poland and Slovakia, are a popular hiking and skiing destination.","O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Mount Etna, an active stratovolcano on the east coast of Sicily, is one of the most active volcanoes in the world.","B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
The Southern Alps in New Zealand are known for their dramatic landscapes featured in the Lord of the Rings films.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Mount McKinley, also known as Denali, is the tallest mountain in North America.","B,I,O,O,O,O,B,O,O,O,O,O,O,O,O,O"
The Sierra Madre del Sur in Mexico is known for its high biodiversity and indigenous cultures.,"O,B,I,I,I,O,O,O,O,O,O,O,O,O,O,O,O"
"Mount Kilimanjaro, a dormant volcano in Tanzania, is the highest peak in Africa.","B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
The Cordillera Blanca in Peru is the highest tropical mountain range in the world.,"O,B,I,O,O,O,O,O,O,O,O,O,O,O,O"
"Mount Rainier, located in Washington State, is famous for its massive glaciers.","B,I,O,O,O,O,O,O,O,O,O,O,O,O,O"
"The Sangay volcano, part of the Andean Volcanic Belt in Ecuador, is one of the most active volcanoes in the world.","O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Mount Kenya, an ancient stratovolcano in Kenya, is the second-highest peak in Africa.","B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"The Cascade Range, extending from British Columbia to California, is known for its series of volcanic peaks.","O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Mount Elbrus, situated in the western Caucasus mountain range, is the highest peak in Russia.","B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"The Dinaric Alps stretch from Italy through Slovenia, Croatia, Bosnia and Herzegovina, Montenegro, and into Albania.","O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Mount Everest, the highest mountain in the world, is located in the Himalayas.","B,I,O,O,O,O,O,O,O,O,O,O,O,O,B,O"
"The Blue Mountains in Australia are known for their distinctive blue haze, eucalyptus forests, and rugged cliffs.","O,B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Mount Vesuvius, overlooking the Bay of Naples, is one of Europe's most well-known volcanoes.","B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"The Rocky Mountains, also known as the Rockies, extend from the northernmost part of British Columbia, in western Canada, to New Mexico, in the Southwestern United States.","O,B,I,O,O,O,O,O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Mount Fuji, an active stratovolcano in Japan, is a symbol of national identity and a popular tourist attraction.","B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"The Appalachians, extending from Newfoundland and Labrador in Canada to central Alabama in the United States, are rich in coal and natural beauty.","O,B,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
"Mount Olympus, located in Greece, is renowned in Greek mythology as the home of the gods.","B,I,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O,O"
