sentence,named_mountains
Mount Kilimanjaro's snowy summit is a renowned sight in Tanzania.,Mount Kilimanjaro
The Pocono Mountains in Pennsylvania are a popular recreational destination.,Pocono Mountains
Mount Ararat in Turkey is fabled to be the resting place of Noah's Ark.,Mount Ararat
The Catskill Mountains in New York are known for their natural beauty and outdoor activities.,Catskill Mountains
"Mount Cook, or Aoraki, is the highest mountain in New Zealand.","Mount Cook,Aoraki"
"The Black Forest mountains in Germany are famous for their dense, evergreen forests and picturesque villages.",Black Forest
Mount Etna in Sicily is one of the most active volcanoes in the world.,Mount Etna
The Sierra Nevada in California is known for its stunning landscapes and diverse ecosystems.,Sierra Nevada
Mount Rainier in Washington State is a prominent landmark of the Pacific Northwest.,Mount Rainier
The Guadalupe Mountains in Texas are known for their rugged beauty and ancient fossil reefs.,Guadalupe Mountains
Mount Merapi in Indonesia is one of the most active volcanoes in the world.,Mount Merapi
"The Chugach Mountains in Alaska are renowned for their rugged, unspoiled wilderness.",Chugach Mountains
"Mount McKinley, also known as Denali, is the highest peak in North America.","Mount McKinley,Denali"
"The Himalayas, home to Mount Everest, are the highest mountain range in the world.","Himalayas,Mount Everest"
"Mount Vesuvius near Naples, Italy, is famous for its historic eruptions.",Mount Vesuvius
"The Andes, stretching along South America, are the longest continental mountain range in the world.",Andes
"Mount Fuji, a symbol of Japan, is known for its perfectly symmetrical volcanic cone.",Mount Fuji
"The Rockies, or Rocky Mountains, are a major mountain range in western North America.","Rockies,Rocky Mountains"
Mount St. Helens in Washington is known for its catastrophic eruption in 1980.,Mount St. Helens
"The Appalachian Mountains, running along the eastern United States, are among the oldest mountains in the world.",Appalachian Mountains
Mount Kilimanjaro is the highest free-standing mountain in the world.,Mount Kilimanjaro
"The Alps, a major mountain range in Europe, are known for their stunning beauty and skiing resorts.",Alps
Mount Olympus in Greece is famous as the mythical home of the Greek gods.,Mount Olympus
The Ural Mountains in Russia form a natural boundary between Europe and Asia.,Ural Mountains
"Mount Elbrus, located in the Caucasus Mountains, is the highest peak in Europe.","Mount Elbrus,Caucasus Mountains"
The Pyrenees mountain range forms a natural border between France and Spain.,Pyrenees
"Mount K2, located on the China-Pakistan border, is the second-highest mountain in the world.",Mount K2
The Drakensberg Mountains in South Africa are known for their spectacular scenery.,Drakensberg Mountains
Mount Aconcagua in Argentina is the highest mountain in both the Southern and Western Hemispheres.,Mount Aconcagua
"The Pennine Alps, a segment of the Alps mountain range, are known for their stunning peaks.",Pennine Alps
"Mount Logan, Canada's highest peak, is situated in the Yukon.",Mount Logan
The Atlas Mountains in North Africa are known for their rich Berber culture and diverse landscapes.,Atlas Mountains
Mount Parnassus in Greece is famed for its historical and mythological significance.,Mount Parnassus
The Snowy Mountains in Australia are a popular skiing destination.,Snowy Mountains
Mount Erebus is the most active volcano in Antarctica.,Mount Erebus
The Sierra Madre Oriental range in Mexico is known for its diverse ecosystems.,Sierra Madre Oriental
"Mount Hood, located in Oregon, is a potentially active stratovolcano.",Mount Hood
"The Karakoram range, home to K2, spans the borders of Pakistan, India, and China.","Karakoram,K2"
Mount Shasta in California is a prominent volcano in the Cascade Range.,"Mount Shasta,Cascade Range"
The Hindu Kush mountains in Afghanistan and Pakistan are a historically significant range.,Hindu Kush
Mount Pelée in Martinique is famous for its devastating eruption in 1902.,Mount Pelée
The Zagros Mountains in Iran are known for their geological diversity and ancient history.,Zagros Mountains
Mount Kilimanjaro in Tanzania is Africa's tallest peak and a dormant volcano.,Mount Kilimanjaro
The White Mountains in New Hampshire are a part of the Appalachian range.,White Mountains
"Mount Fuji, Japan's iconic peak, is a pilgrimage site for many.",Mount Fuji
"The Great Smoky Mountains, located in the southeastern United States, are a UNESCO World Heritage Site.",Great Smoky Mountains
Mount Elbrus in Russia is considered the highest peak in Europe.,Mount Elbrus
The Sierra Nevada range in Spain is known for its high peaks and alpine climate.,Sierra Nevada
"Mount St. Helens, famous for its 1980 eruption, is located in Washington State.",Mount St. Helens
The Dolomites in northern Italy are a part of the Southern Limestone Alps.,"Dolomites,Alps"
"Mount Rainier is an iconic and potentially active volcano in Washington, USA.",Mount Rainier
The Pyrenees mountains form a natural border between France and Spain.,Pyrenees
"Mount Ararat, located in Turkey, is a significant peak in Armenian culture and history.",Mount Ararat
"The Carpathian Mountains, spanning Central and Eastern Europe, are rich in folklore and natural beauty.",Carpathian Mountains
"Mount Everest, located in the Himalayas, is the highest point on Earth.","Mount Everest,Himalayas"
The Rocky Mountains are one of the major mountain ranges in North America.,Rocky Mountains
Mount Kosciuszko is the highest peak on the Australian mainland.,Mount Kosciuszko
The Ural Mountains in Russia separate Europe and Asia geographically.,Ural Mountains
Mount Aconcagua in Argentina is the highest mountain in the Americas.,Mount Aconcagua
The Bernese Alps in Switzerland are known for their picturesque villages and stunning peaks.,Bernese Alps
"Mount Chimborazo in Ecuador, due to its location on the equatorial bulge, is the farthest point from the Earth's center.",Mount Chimborazo
"The Tatra Mountains, located on the border of Poland and Slovakia, are a popular hiking and skiing destination.",Tatra Mountains
"Mount Etna, an active stratovolcano on the east coast of Sicily, is one of the most active volcanoes in the world.",Mount Etna
The Southern Alps in New Zealand are known for their dramatic landscapes featured in the Lord of the Rings films.,Southern Alps
"Mount McKinley, also known as Denali, is the tallest mountain in North America.","Mount McKinley,Denali"
The Sierra Madre del Sur in Mexico is known for its high biodiversity and indigenous cultures.,Sierra Madre del Sur
"Mount Kilimanjaro, a dormant volcano in Tanzania, is the highest peak in Africa.",Mount Kilimanjaro
The Cordillera Blanca in Peru is the highest tropical mountain range in the world.,Cordillera Blanca
"Mount Rainier, located in Washington State, is famous for its massive glaciers.",Mount Rainier
"The Sangay volcano, part of the Andean Volcanic Belt in Ecuador, is one of the most active volcanoes in the world.",Sangay
"Mount Kenya, an ancient stratovolcano in Kenya, is the second-highest peak in Africa.",Mount Kenya
"The Cascade Range, extending from British Columbia to California, is known for its series of volcanic peaks.",Cascade Range
"Mount Elbrus, situated in the western Caucasus mountain range, is the highest peak in Russia.",Mount Elbrus
"The Dinaric Alps stretch from Italy through Slovenia, Croatia, Bosnia and Herzegovina, Montenegro, and into Albania.",Dinaric Alps
"Mount Everest, the highest mountain in the world, is located in the Himalayas.","Mount Everest,Himalayas"
"The Blue Mountains in Australia are known for their distinctive blue haze, eucalyptus forests, and rugged cliffs.",Blue Mountains
"Mount Vesuvius, overlooking the Bay of Naples, is one of Europe's most well-known volcanoes.",Mount Vesuvius
"The Rocky Mountains, also known as the Rockies, extend from the northernmost part of British Columbia, in western Canada, to New Mexico, in the Southwestern United States.","Rocky Mountains,Rockies"
"Mount Fuji, an active stratovolcano in Japan, is a symbol of national identity and a popular tourist attraction.",Mount Fuji
"The Appalachians, extending from Newfoundland and Labrador in Canada to central Alabama in the United States, are rich in coal and natural beauty.",Appalachians
"Mount Olympus, located in Greece, is renowned in Greek mythology as the home of the gods.",Mount Olympus
"The Ural Mountains, forming part of the conventional boundary between the continents of Europe and Asia, are rich in mineral resources.",Ural Mountains
"Mount Ararat, located in eastern Turkey, is significant in Armenian culture and history.",Mount Ararat
"The Carpathian Mountains, forming an arc across Central and Eastern Europe, are known for their diverse landscapes and wildlife.",Carpathian Mountains
"Mount Aconcagua, the highest mountain outside of Asia, is located in the Andes mountain range in Argentina.","Mount Aconcagua,Andes"
"The Himalayas, home to many of the world's highest peaks, including Mount Everest, are a prominent feature in South Asian geography.","Himalayas,Mount Everest"
"Mount Cook, also known as Aoraki, is the highest mountain in New Zealand and a part of the Southern Alps.","Mount Cook,Aoraki,Southern Alps"
"The Alps, stretching across eight countries in Europe, are a major mountain range and a popular destination for winter sports.",Alps
"Mount Kosciuszko, located in the Snowy Mountains of New South Wales, Australia, is the continent's highest mountain.","Mount Kosciuszko,Snowy Mountains"
"The Misty Mountains, featured in J.R.R. Tolkien's Middle-earth, are known for their enigmatic and perilous terrain.",Misty Mountains
"Mount Olympus, in the Marvel Universe, is the home of the Olympian Gods.",Mount Olympus
"The Lonely Mountain, or Erebor, in Tolkien's Middle-earth, was famous for its Dwarven kingdom and the dragon Smaug.","Lonely Mountain,Erebor"
"Mount Doom, also known as Orodruin, in Middle-earth is where the One Ring was forged.","Mount Doom,Orodruin"
"The Spine of the World, a mountain range in the Forgotten Realms of Dungeons & Dragons, is known for its harsh conditions and dangerous inhabitants.",Spine of the World
"Mount Thunder, in the fictional land of Prydain, is known for its dark magic and mythical creatures.",Mount Thunder
"The White Mountains, in C.S. Lewis's Narnia, are located at the western end of the Great Desert.",White Mountains
"Mount Qaf, in Middle Eastern mythology, is considered to be a mythical mountain that encircles the world.",Mount Qaf
"The Redhorn Pass, also known as Caradhras, in Middle-earth, is a treacherous path through the Misty Mountains.","Redhorn Pass,Caradhras,Misty Mountains"
"Mount Nevermind, in the Dragonlance universe, is known for its Gnomish inventions and mishaps.",Mount Nevermind
"The Throat of the World, in the Elder Scrolls V: Skyrim, is considered the highest mountain in Tamriel.",Throat of the World
"Mount Celestia, in Dungeons & Dragons, is a plane of existence and a mountainous seven-layered heaven.",Mount Celestia
The Pillars of Creation in Terry Goodkind's Sword of Truth series are ancient mountains filled with magic and mystery.,Pillars of Creation
"Mount Arreat, in the Diablo game series, is a sacred mountain with a significant role in the game's lore.",Mount Arreat
"The Blue Mountains, or Ered Luin, in Middle-earth, mark the westernmost reaches of the continent.","Blue Mountains,Ered Luin"
"Mount Hyjal, in the Warcraft universe, is a sacred place and a site of major battles.",Mount Hyjal
The Thunder Peaks in the Forgotten Realms are known for their treacherous terrain and deadly creatures.,Thunder Peaks
"Dragonmount, in Robert Jordan's Wheel of Time, is a solitary mountain with a dramatic history.",Dragonmount
The Mountain of Destiny in the world of Alagaësia from the Inheritance Cycle is a site of ancient power.,Mountain of Destiny
"Mount Massive, in the video game Outlast, hides a dark secret within its abandoned asylum.",Mount Massive
The Ash Mountains in Middle-earth form a natural barrier on the eastern border of Mordor.,Ash Mountains
"Mount Gagazet, in the world of Final Fantasy X, is a sacred mountain guarded by the Ronso tribe.",Mount Gagazet
The Storm Peaks in World of Warcraft are known for their harsh weather and ancient secrets.,Storm Peaks
"The Fang, a formidable mountain in the Warhammer universe, is the stronghold of the Space Wolves.",The Fang
"Mount Zonah, in the Grand Theft Auto V game, is known for its medical center and scenic views.",Mount Zonah
"The Iron Mountains, in Tolkien's Middle-earth, are a formidable range in the north of Middle-earth.",Iron Mountains
"Mount Grimrock, from the game Legend of Grimrock, is a mountain filled with dungeons and dangerous creatures.",Mount Grimrock
"The Brokeback Mountain, from Annie Proulx's story, is set in the fictional range of Wyoming.",Brokeback Mountain
The Lonely Mountain in Middle-earth is known for its treasure and the dragon Smaug.,Lonely Mountain
"Mount Olympus, the highest peak in Greece, is also home to the Greek gods in mythology.",Mount Olympus
"Mount Wundagore in the Marvel Universe is a mystical mountain, known as the birthplace of Quicksilver and Scarlet Witch.",Mount Wundagore
"The Lonely Mountain, or Erebor, in Middle-earth is famous for its vast wealth and the dragon Smaug.","Lonely Mountain,Erebor"
Mount Olympus in Greek mythology is the home of the Greek gods.,Mount Olympus
The Mountain of Faith in the fictional world of Gensokyo is known for its spiritual significance.,Mountain of Faith
"Mount Everest, Earth's highest mountain, is located in the Himalayas.","Mount Everest,Himalayas"
"The Wall in the fictional world of Westeros from Game of Thrones is a massive ice wall at the northern border, built on a mountain range.",The Wall
Mount Corvast in the fantasy world of Elden Ring is known for its daunting height and treacherous paths.,Mount Corvast
Kilimanjaro is a dormant volcano in Tanzania and the highest peak in Africa.,Kilimanjaro
The Glass Mountains in the fictional realm of Ansalon are known for their crystal-like peaks.,Glass Mountains
"Mount Akina, from the anime series Initial D, is a popular spot for street racing.",Mount Akina
The Floating Mountains in the world of Pandora from Avatar are noted for their unique suspended structures.,Floating Mountains
Mount Fuji is an iconic symbol of Japan and a popular destination for climbers.,Mount Fuji
"The Throat of the World, in Skyrim, is regarded as the highest mountain in Tamriel.",Throat of the World
"Mount Ararat, located in Turkey, is traditionally considered the landing place of Noah's Ark.",Mount Ararat
"Mount Silver, in the Pokémon universe, is a challenging location for Pokémon trainers.",Mount Silver
The Grand Teton in Wyoming is one of the most striking features of the Teton Range.,"Grand Teton,Teton Range"
Mount Doom in Middle-earth is where the One Ring was destroyed in the fires of Mount Doom.,Mount Doom
The Rocky Mountains are a major mountain range in western North America.,Rocky Mountains
"Mountains of Madness, in H.P. Lovecraft's works, are an ominous range in Antarctica hiding ancient secrets.",Mountains of Madness
"The Blue Mountains, or Ered Luin, in Tolkien's Middle-earth, were once rich in minerals and home to Dwarves.","Blue Mountains,Ered Luin"
Mount Baldy in California is known for its hiking trails and ski lifts.,Mount Baldy
Death Mountain in the Legend of Zelda series is a recurring volcanic mountain.,Death Mountain
"The Ural Mountains, separating Europe and Asia, are rich in history and resources.",Ural Mountains
"Mount Elbrus, located in Russia, is the highest peak in Europe.",Mount Elbrus
"Mount Weather, in the fictional world of The 100, is a bunker and key location in the series.",Mount Weather
Mount Katahdin in Maine is the northern terminus of the Appalachian Trail.,Mount Katahdin
"The Pillar of Autumn from the Halo series is a mountainous structure, though not a traditional mountain.",Pillar of Autumn
Mount Chiliad in Grand Theft Auto V is famous for its mysteries and easter eggs.,Mount Chiliad
The Lhûn Hills in Middle-earth are a lesser-known range with their own beauty and dangers.,Lhûn Hills
"Mount Hyjal in the World of Warcraft universe is a sacred site known for its World Tree, Nordrassil.",Mount Hyjal
The Phoenix Mountains in the mythical realm of Fengshen Yanyi are known for their mystical properties.,Phoenix Mountains
Mount Norquay in the Canadian Rockies offers spectacular skiing experiences.,"Mount Norquay,Rockies"
The Mountains of the Moon in George R.R. Martin's Westeros are shrouded in mystery.,Mountains of the Moon
Mount Celestia in Dungeons & Dragons is a multi-layered plane of lawful good alignment.,Mount Celestia
"The Ered Mithrin, or Grey Mountains, in Middle-earth were known for their dragon inhabitants.","Ered Mithrin,Grey Mountains"
Mount Tongariro in New Zealand is a complex of multiple volcanic cones.,Mount Tongariro
"The Grampians in Victoria, Australia, are a series of five spectacular sandstone ridges.",Grampians
Mount Palomar in California is famous for its observatory and giant telescope.,Mount Palomar
The Chocobo's Crystal Tower in the world of Final Fantasy is a mountainous structure filled with magical phenomena.,Chocobo's Crystal Tower
"Mount Erebus, the second-highest volcano in Antarctica, is known for its persistent lava lake.",Mount Erebus
The Whispering Mountains in the land of Alagaësia are known for their eerie sounds and legends.,Whispering Mountains
"Mount Apo, the highest peak in the Philippines, is a potentially active volcano.",Mount Apo
The Thundering Mountains in Chinese mythology are said to be inhabited by gods and spirits.,Thundering Mountains
Mount Rushmore in South Dakota is famous for its monumental carvings of four US presidents.,Mount Rushmore
"The Fangorn Forest, at the foot of the Misty Mountains in Middle-earth, is ancient and mysterious.","Fangorn Forest,Misty Mountains,The Fang"
"Mount Kazbek, a dormant stratovolcano in Georgia, is steeped in myths and legends.",Mount Kazbek
The Pillars of Hercules in ancient mythology are not traditional mountains but are often depicted as such.,Pillars of Hercules
Mount Targon in the League of Legends universe is a celestial mountain where warriors seek to prove themselves.,Mount Targon
The Simien Mountains in Ethiopia are known for their dramatic escarpments and unique wildlife.,Simien Mountains
"Mount Olympus in Washington State, USA, is a prominent peak in the Olympic Mountains.",Mount Olympus
"The Twin Peaks, featured in David Lynch's television series, are surrounded by mystery and intrigue.",Twin Peaks
"Mount Denali, previously known as Mount McKinley, is the highest peak in North America.","Mount Denali,Mount McKinley"
"The Lonely Mountain, or Erebor, in Middle-earth is a rich source of treasure and the site of epic battles.","Lonely Mountain,Erebor"
"Mount Elgon on the Uganda-Kenya border is an ancient, eroded volcano with a unique caldera.",Mount Elgon
The Iron Mountains in Middle-earth are a range in the north known for their harsh climate and terrain.,Iron Mountains
"Mount Kailash in Tibet is considered a sacred mountain in several religions, including Buddhism and Hinduism.",Mount Kailash
The Peaks of Eternal Light in the Artemis Fowl series are a magical and treacherous mountain range.,Peaks of Eternal Light
"Mount Arreat, in the Diablo video game series, holds a Worldstone pivotal to the game's lore.",Mount Arreat
The Blue Mountains in Jamaica are famous for their coffee and mist-covered peaks.,Blue Mountains
"Mount Asgard on Baffin Island, Canada, is known for its twin peaks and was featured in the James Bond film 'The Spy Who Loved Me'.",Mount Asgard
The Mountain of Destiny in Terry Goodkind's Sword of Truth series is a mystical place with ancient power.,Mountain of Destiny
Mount Ararat in Turkey is believed by many to be the resting place of Noah's Ark.,Mount Ararat
