sentence,named_mountains
"According to ancient myths, The Wuling Mountains in China offer breathtaking views and rich history.",Wuling Mountains
Environmental studies show that The Lofoten Islands in Norway are known for their dramatic mountainous landscapes.,Lofoten Islands
"Historically speaking, The Sierra de la Laguna in Mexico are a unique mountain range in Baja California.",Sierra de la Laguna
"Historically speaking, The Superstition Mountains in Arizona are shrouded in myths and legends.",Superstition Mountains
Nature documentaries often highlight that Mount Wilhelm is the highest peak in Papua New Guinea.,Mount Wilhelm
"According to recent studies, Mount Makalu is an isolated peak in the Himalayas with a distinctive pyramid shape.","Mount Makalu,Himalayas"
It is often said that The Huachuca Mountains in Arizona are a haven for birdwatchers and hikers.,Huachuca Mountains
"In travel documentaries, The Serra dos Órgãos range in Brazil is known for its organ pipe-like rock formations.",Serra dos Órgãos
Tourists often find that Mount Broad Peak in the Karakoram Range is known for its extensive summit.,"Mount Broad Peak,Karakoram"
"In the eyes of historians, Mount Lhotse is known for its proximity to Mount Everest.","Mount Lhotse,Mount Everest"
Tourists often find that The Taebaek Mountains are a prominent mountain range in South Korea.,Taebaek Mountains
"In the eyes of historians, Mount Baker in Washington State is known for its heavy snowfall.",Mount Baker
It's a lesser-known fact that The Sierra Nevada de Santa Marta in Colombia are the world's highest coastal range.,Sierra Nevada de Santa Marta
"As many hikers have observed, The Cascade Mountains are a major mountain range in the Pacific Northwest.",Cascade Mountains
Legends say that Mount Rainier in Washington is an iconic part of the Pacific Northwest's landscape.,Mount Rainier
"In the eyes of historians, The Sangre de Cristo Mountains in New Mexico are part of the Rocky Mountains.","Sangre de Cristo Mountains,Rocky Mountains"
Tourists often find that Mount Erebus in Antarctica is the world's southernmost active volcano.,Mount Erebus
"As many hikers have observed, Mount Hood in Oregon is a potentially active stratovolcano.",Mount Hood
"From a climber's perspective, The Dolomites in Italy are part of the Southern Limestone Alps.","Dolomites,Alps"
"Mountain climbers often recount that Mount Everest, the world's highest peak, is located in the Himalayas on the border of Nepal and Tibet.","Mount Everest,Himalayas"
"Tourists often find that The Tian Shan mountains, spanning Central Asia, are among the tallest in the world.",Tian Shan
"According to ancient myths, The Catskill Mountains in New York are known for their natural beauty and outdoor activities.",Catskill Mountains
"Mountain climbers often recount that Mount Cook, or Aoraki, is the highest mountain in New Zealand.","Mount Cook,Aoraki"
Geologists have discovered that Mount Etna in Sicily is one of the most active volcanoes in the world.,Mount Etna
"As many hikers have observed, The Sierra Nevada in California is known for its stunning landscapes and diverse ecosystems.",Sierra Nevada
"As reported in the news, The Guadalupe Mountains in Texas are known for their rugged beauty and ancient fossil reefs.",Guadalupe Mountains
It is well-known that Mount Merapi in Indonesia is one of the most active volcanoes in the world.,Mount Merapi
"It is often said that The Andes, stretching along South America, are the longest continental mountain range in the world.",Andes
"Mountain climbers often recount that Mount Fuji, a symbol of Japan, is known for its perfectly symmetrical volcanic cone.",Mount Fuji
"The local lore suggests that The Rockies, or Rocky Mountains, are a major mountain range in western North America.","Rockies,Rocky Mountains"
"As reported in the news, Mount St. Helens in Washington is known for its catastrophic eruption in 1980.",Mount St. Helens
"Experienced guides often say that The Appalachian Mountains, running along the eastern United States, are among the oldest mountains in the world.",Appalachian Mountains
Environmental studies show that Mount Olympus in Greece is famous as the mythical home of the Greek gods.,Mount Olympus
"From a geographical perspective, The Ural Mountains in Russia form a natural boundary between Europe and Asia.",Ural Mountains
"As seen in satellite imagery, The Pyrenees mountain range forms a natural border between France and Spain.",Pyrenees
"In travel documentaries, The Atlas Mountains in North Africa are known for their rich Berber culture and diverse landscapes.",Atlas Mountains
"From a bird's-eye view, Mount Parnassus in Greece is famed for its historical and mythological significance.",Mount Parnassus
"From a climber's perspective, Mount Erebus is the most active volcano in Antarctica.",Mount Erebus
It's a lesser-known fact that The Sierra Madre Oriental range in Mexico is known for its diverse ecosystems.,Sierra Madre Oriental
"Experienced guides often say that Mount Hood, located in Oregon, is a potentially active stratovolcano.",Mount Hood
Tourists often find that The Zagros Mountains in Iran are known for their geological diversity and ancient history.,Zagros Mountains
It is often said that Mount Kilimanjaro in Tanzania is Africa's tallest peak and a dormant volcano.,Mount Kilimanjaro
Photographers love that The White Mountains in New Hampshire are a part of the Appalachian range.,White Mountains
"In the realm of folklore, The Great Smoky Mountains, located in the southeastern United States, are a UNESCO World Heritage Site.",Great Smoky Mountains
It's a lesser-known fact that The Sierra Nevada range in Spain is known for its high peaks and alpine climate.,Sierra Nevada
"Nature documentaries often highlight that Mount St. Helens, famous for its 1980 eruption, is located in Washington State.",Mount St. Helens
"In popular travel blogs, Mount Everest, located in the Himalayas, is the highest point on Earth.","Mount Everest,Himalayas"
It is often said that The Rocky Mountains are one of the major mountain ranges in North America.,Rocky Mountains
"In travel documentaries, The Ural Mountains in Russia separate Europe and Asia geographically.",Ural Mountains
"As reported in the news, The Bernese Alps in Switzerland are known for their picturesque villages and stunning peaks.",Bernese Alps
Legends say that The Sierra Madre del Sur in Mexico is known for its high biodiversity and indigenous cultures.,Sierra Madre del Sur
"According to ancient myths, Mount Kilimanjaro, a dormant volcano in Tanzania, is the highest peak in Africa.",Mount Kilimanjaro
"It is often said that Mount Rainier, located in Washington State, is famous for its massive glaciers.",Mount Rainier
"It is often said that The Sangay volcano, part of the Andean Volcanic Belt in Ecuador, is one of the most active volcanoes in the world.",Sangay
"Photographers love that Mount Kenya, an ancient stratovolcano in Kenya, is the second-highest peak in Africa.",Mount Kenya
"According to recent studies, The Cascade Range, extending from British Columbia to California, is known for its series of volcanic peaks.",Cascade Range
"Legends say that Mount Everest, the highest mountain in the world, is located in the Himalayas.","Mount Everest,Himalayas"
"From a bird's-eye view, The Blue Mountains in Australia are known for their distinctive blue haze, eucalyptus forests, and rugged cliffs.",Blue Mountains
"It is well-known that The Rocky Mountains, also known as the Rockies, extend from the northernmost part of British Columbia, in western Canada, to New Mexico, in the Southwestern United States.","Rocky Mountains,Rockies"
"As reported in the news, Mount Fuji, an active stratovolcano in Japan, is a symbol of national identity and a popular tourist attraction.",Mount Fuji
"As seen in satellite imagery, Mount Olympus, located in Greece, is renowned in Greek mythology as the home of the gods.",Mount Olympus
"In the history of mountaineering, The Ural Mountains, forming part of the conventional boundary between the continents of Europe and Asia, are rich in mineral resources.",Ural Mountains
"In the realm of folklore, Mount Ararat, located in eastern Turkey, is significant in Armenian culture and history.",Mount Ararat
"Travel guides mention that The Alps, stretching across eight countries in Europe, are a major mountain range and a popular destination for winter sports.",Alps
"From a bird's-eye view, Mount Kosciuszko, located in the Snowy Mountains of New South Wales, Australia, is the continent's highest mountain.","Mount Kosciuszko,Snowy Mountains"
"Tourists often find that The Misty Mountains, featured in J.R.R. Tolkien's Middle-earth, are known for their enigmatic and perilous terrain.",Misty Mountains
"As seen in satellite imagery, The Lonely Mountain, or Erebor, in Tolkien's Middle-earth, was famous for its Dwarven kingdom and the dragon Smaug.","Lonely Mountain,Erebor"
"Legends say that The Spine of the World, a mountain range in the Forgotten Realms of Dungeons & Dragons, is known for its harsh conditions and dangerous inhabitants.",Spine of the World
"In popular travel blogs, Mount Thunder, in the fictional land of Prydain, is known for its dark magic and mythical creatures.",Mount Thunder
"In the realm of folklore, The White Mountains, in C.S. Lewis's Narnia, are located at the western end of the Great Desert.",White Mountains
"In the eyes of historians, Mount Qaf, in Middle Eastern mythology, is considered to be a mythical mountain that encircles the world.",Mount Qaf
"In popular travel blogs, The Thunder Peaks in the Forgotten Realms are known for their treacherous terrain and deadly creatures.",Thunder Peaks
"Geologists have discovered that Dragonmount, in Robert Jordan's Wheel of Time, is a solitary mountain with a dramatic history.",Dragonmount
"From a bird's-eye view, The Mountain of Destiny in the world of Alagaësia from the Inheritance Cycle is a site of ancient power.",Mountain of Destiny
"Local traditions state that The Fang, a formidable mountain in the Warhammer universe, is the stronghold of the Space Wolves.",The Fang
"Photographers love that The Brokeback Mountain, from Annie Proulx's story, is set in the fictional range of Wyoming.",Brokeback Mountain
It is often said that Mount Olympus in Greek mythology is the home of the Greek gods.,Mount Olympus
"According to recent studies, Mount Everest, Earth's highest mountain, is located in the Himalayas.","Mount Everest,Himalayas"
"According to explorers, The Wall in the fictional world of Westeros from Game of Thrones is a massive ice wall at the northern border, built on a mountain range.",The Wall
"Among the local population, it is believed that The Throat of the World, in Skyrim, is regarded as the highest mountain in Tamriel.",Throat of the World
Photographers love that The Grand Teton in Wyoming is one of the most striking features of the Teton Range.,"Grand Teton,Teton Range"
"From a climber's perspective, Mount Doom in Middle-earth is where the One Ring was destroyed in the fires of Mount Doom.",Mount Doom
It's a lesser-known fact that The Rocky Mountains are a major mountain range in western North America.,Rocky Mountains
"From a bird's-eye view, The Blue Mountains, or Ered Luin, in Tolkien's Middle-earth, were once rich in minerals and home to Dwarves.","Blue Mountains,Ered Luin"
Adventure seekers have noted that Death Mountain in the Legend of Zelda series is a recurring volcanic mountain.,Death Mountain
"It is well-known that Mount Weather, in the fictional world of The 100, is a bunker and key location in the series.",Mount Weather
Adventure seekers have noted that Mount Katahdin in Maine is the northern terminus of the Appalachian Trail.,Mount Katahdin
Local traditions state that The Lhûn Hills in Middle-earth are a lesser-known range with their own beauty and dangers.,Lhûn Hills
Nature documentaries often highlight that The Phoenix Mountains in the mythical realm of Fengshen Yanyi are known for their mystical properties.,Phoenix Mountains
"As seen in satellite imagery, Mount Celestia in Dungeons & Dragons is a multi-layered plane of lawful good alignment.",Mount Celestia
"From a climber's perspective, The Ered Mithrin, or Grey Mountains, in Middle-earth were known for their dragon inhabitants.","Ered Mithrin,Grey Mountains"
"According to explorers, Mount Tongariro in New Zealand is a complex of multiple volcanic cones.",Mount Tongariro
Environmental studies show that Mount Rushmore in South Dakota is famous for its monumental carvings of four US presidents.,Mount Rushmore
Geologists have discovered that Mount Targon in the League of Legends universe is a celestial mountain where warriors seek to prove themselves.,Mount Targon
Experienced guides often say that The Simien Mountains in Ethiopia are known for their dramatic escarpments and unique wildlife.,Simien Mountains
"In popular travel blogs, Mount Olympus in Washington State, USA, is a prominent peak in the Olympic Mountains.",Mount Olympus
"In the eyes of historians, Mount Denali, previously known as Mount McKinley, is the highest peak in North America.","Mount Denali,Mount McKinley"
"From a geographical perspective, Mount Arreat, in the Diablo video game series, holds a Worldstone pivotal to the game's lore.",Mount Arreat
"In travel documentaries, The Blue Mountains in Jamaica are famous for their coffee and mist-covered peaks.",Blue Mountains
"Experienced guides often say that Mount Asgard on Baffin Island, Canada, is known for its twin peaks and was featured in the James Bond film 'The Spy Who Loved Me'.",Mount Asgard
"From a geographical perspective, The Mountain of Destiny in Terry Goodkind's Sword of Truth series is a mystical place with ancient power.",Mountain of Destiny
Photographers love that Mount Ararat in Turkey is believed by many to be the resting place of Noah's Ark.,Mount Ararat
Nature enthusiasts enjoy that Mount Kilimanjaro in Tanzania is Africa's highest peak and a dormant volcano.,Mount Kilimanjaro
Nature documentaries often highlight that Mount Roraima in South America is known for its flat top and unique ecosystem.,Mount Roraima
"From a bird's-eye view, The Wolf's Lair in the Witcher series is a mountain fortress used as a training ground for witchers.",Wolf's Lair
"According to explorers, Mount Fuji in Japan is an active stratovolcano and a well-known symbol of Japan.",Mount Fuji
"In the history of mountaineering, Mount Kailash in Tibet is revered as a sacred mountain in several religions, including Hinduism and Buddhism.",Mount Kailash
"As many hikers have observed, The Thunder Peaks in the Forgotten Realms are known for their dangerous terrain and fierce storms.",Thunder Peaks
"According to ancient myths, Mount Vesuvius near Naples, Italy, is famous for its eruption in 79 AD that buried the city of Pompeii.",Mount Vesuvius
"Nature enthusiasts enjoy that Mount Cook, also known as Aoraki, is the highest mountain in New Zealand.","Mount Cook,Aoraki"
"From a bird's-eye view, The Lonely Mountain, or Erebor, in Middle-earth, is famed for its wealth and the dragon Smaug.","Lonely Mountain,Erebor"
"Travel guides mention that Mount McKinley, also known as Denali, is the highest mountain peak in North America.","Mount McKinley,Denali"
"Photographers love that The Brocken, in the Harz Mountains of Germany, is associated with witches and folklore.","Brocken,Harz Mountains"
"Legends say that Mount Hyjal in the Warcraft universe is a sacred mountain and the site of the World Tree, Nordrassil.",Mount Hyjal
"From a climber's perspective, The Sierra Nevada mountain range in California and Nevada is known for its stunning landscapes and ski resorts.",Sierra Nevada
Adventure seekers have noted that Mount Othrys in Greek mythology was the fortress of the Titans during the Titanomachy.,Mount Othrys
It's a lesser-known fact that The Mountains of Moria in Middle-earth are known for the vast Dwarven city beneath them.,Mountains of Moria
"In the realm of folklore, Mount Elbrus in the Caucasus Mountains is the highest peak in Europe.","Mount Elbrus,Caucasus Mountains"
"As seen in satellite imagery, The Blue Mountains, or Ered Luin, in Middle-earth were once home to thriving Dwarven kingdoms.","Blue Mountains,Ered Luin"
"Environmental studies show that Mount Everest, located in the Himalayas, is the highest mountain peak above sea level.","Mount Everest,Himalayas"
"In the eyes of historians, Mount Olympus in Greek mythology is the home of the Greek gods and goddesses.",Mount Olympus
"According to ancient myths, The Throat of the World in Skyrim is considered the highest mountain in Tamriel.",Throat of the World
"As many hikers have observed, The Thundering Mountains in Chinese mythology are said to be home to many gods.",Thundering Mountains
"Adventure seekers have noted that The Rocky Mountains, extending from Canada to the United States, are known for their breathtaking landscapes.",Rocky Mountains
"According to explorers, The Sierra Nevada mountain range in California is known for its striking natural beauty and ski resorts.",Sierra Nevada
"According to ancient myths, Mount Roraima in South America is a tabletop mountain with a unique ecosystem.",Mount Roraima
It is well-known that Mount Shasta in California is known for its majestic appearance and spiritual significance.,Mount Shasta
"Tourists often find that The Misty Mountains in Middle-earth are a major mountain range, home to goblins and other creatures.",Misty Mountains
"Travel guides mention that Mount Vesuvius near Naples, Italy, is famous for its eruption in 79 AD that destroyed Pompeii.",Mount Vesuvius
It is often said that Mount Rainier in Washington State is an iconic part of the Pacific Northwest landscape.,Mount Rainier
The local lore suggests that The Glass Mountains in the Land of Oz are a fantastical range made entirely of glass.,Glass Mountains
"In travel documentaries, Mount Erebus on Ross Island in Antarctica is the southernmost historically active volcano on Earth.",Mount Erebus
Nature enthusiasts enjoy that The Ural Mountains in Russia form a natural boundary between Europe and Asia.,Ural Mountains
"Mountain climbers often recount that Mount Erebor, also known as the Lonely Mountain in Tolkien's Middle-earth, is famed for its treasure and the dragon Smaug.","Mount Erebor,Lonely Mountain"
"According to explorers, Mount Olympus in Greek mythology is the lofty home of the Olympian gods.",Mount Olympus
"Historically speaking, Mount Kilimanjaro in Tanzania is renowned for its snow-capped peak and is Africa's highest mountain.",Mount Kilimanjaro
It is well-known that Mount Fuji in Japan is a cultural icon and an active stratovolcano.,Mount Fuji
"Local traditions state that Mount Ararat, located in Turkey, is traditionally considered the landing place of Noah's Ark.",Mount Ararat
"From a bird's-eye view, The Spine of the World, a mountain range in the Forgotten Realms, is known for its rugged and unforgiving terrain.",Spine of the World
"From a bird's-eye view, The Redhorn Pass, also known as Caradhras, in Middle-earth, is a treacherous path through the mountains.","Redhorn Pass,Caradhras"
"According to ancient myths, The Pillar of Autumn, a metaphorical mountain in the Halo series, is a towering ship and a central location in the story.",Pillar of Autumn
"In the realm of folklore, Mount Denali, also known as Mount McKinley, is the highest mountain peak in North America.","Mount Denali,Mount McKinley"
"As seen in satellite imagery, Mount Ered Luin, also known as the Blue Mountains in Middle-earth, are steeped in Dwarven history.","Mount Ered Luin,Blue Mountains"
Travel guides mention that The Sierra Nevada range in California and Nevada is known for its stunning natural beauty and ski resorts.,Sierra Nevada
"As reported in the news, Mount Shasta in California is a significant peak in the Cascade Range, known for its natural beauty and legends.","Mount Shasta,Cascade Range"
Nature documentaries often highlight that The Misty Mountains in Middle-earth are a central location in Tolkien's 'The Hobbit' and 'The Lord of the Rings'.,Misty Mountains
"As many hikers have observed, The Glass Mountains, in the realm of Oz, are known for their sheer, impassable cliffs of solid glass.",Glass Mountains
"The local lore suggests that The Ural Mountains, separating Europe and Asia, are rich in history and natural resources.",Ural Mountains
"From a bird's-eye view, The Lonely Mountain, or Erebor, in Tolkien's Middle-earth, is famous for its vast treasure and the dragon Smaug.","Lonely Mountain,Erebor"
Legends say that Mount Everest in the Himalayas is the highest mountain peak in the world.,"Mount Everest,Himalayas"
Tourists often find that The Brokeback Mountain in Annie Proulx's story is a symbol of forbidden love and freedom.,Brokeback Mountain
Local traditions state that The Death Peak in the Chrono Trigger universe is a desolate mountain with a pivotal role in the game's narrative.,Death Peak
"According to recent studies, Mount Fuji, an iconic symbol of Japan, is a popular spot for tourists and climbers.",Mount Fuji
"Historically speaking, The Misty Mountains in Middle-earth are a daunting and mysterious range filled with goblins and ancient secrets.",Misty Mountains
Nature enthusiasts enjoy that The Wall in George R.R. Martin's Game of Thrones is a massive ice structure built along a mountain range.,The Wall
"As seen in satellite imagery, Mount Olympus in Washington State is a prominent feature of the Olympic National Park.",Mount Olympus
"In travel documentaries, The Glass Mountains in the Land of Oz are made entirely of crystal-clear glass.",Glass Mountains
"Travel guides mention that The Grey Mountains, or Ered Mithrin, in Middle-earth were once a realm of the Dwarves.","Grey Mountains,Ered Mithrin"
"From a bird's-eye view, The Pillar of Autumn from the Halo series, though not a mountain, has a towering presence.",Pillar of Autumn
"As many hikers have observed, Mount Shasta in California is known for its picturesque views and spiritual associations.",Mount Shasta
"From a climber's perspective, Mount Kailash in Tibet is considered sacred in several religions, including Hinduism and Buddhism.",Mount Kailash
Environmental studies show that The Sierra Nevada in California and Nevada are known for their breathtaking landscapes and outdoor recreation opportunities.,Sierra Nevada
Environmental studies show that The Rocky Mountains extend from the northernmost part of British Columbia in Canada to New Mexico in the United States.,Rocky Mountains
Tourists often find that Mount Asgard in Canadian Baffin Island is known for its twin peaks and was featured in 'The Spy Who Loved Me'.,Mount Asgard
"Mountain climbers often recount that The Witch's Head, a mountain in the Witcher universe, is shrouded in dark legends.",The Witch's Head
"It is often said that Mount Cook, also known as Aoraki, is the tallest mountain in New Zealand.","Mount Cook,Aoraki"
"According to ancient myths, Mount Celestia, in Dungeons & Dragons lore, is a plane of benevolence and order, resembling a vast mountain.",Mount Celestia
Adventure seekers have noted that The Ironcrags in the realm of Warhammer are notorious for their harsh terrain and dwarven forges.,Ironcrags
"It's a lesser-known fact that Mount Popa in Myanmar is a sacred mountain, famous for its monastery perched atop an extinct volcano.",Mount Popa
"Environmental studies show that Dragonspine, a location in Genshin Impact, is a frozen mountain range teeming with mysteries and dangers.",Dragonspine
It's a lesser-known fact that Mount Elgon on the Uganda-Kenya border is known for its vast caldera and diverse ecosystems.,Mount Elgon
It is often said that The Death Mountains in the Legend of Zelda series are often depicted as a fiery and hostile environment.,Death Mountains
"It's a lesser-known fact that Mount Garibaldi in British Columbia, Canada, is a potentially active stratovolcano.",Mount Garibaldi
"From a climber's perspective, The Forbidden Mountains in Disney's Sleeping Beauty are a dark and ominous range, home to Maleficent.",Forbidden Mountains
"It is well-known that Mount Erebor, in Tolkien's universe, is famed for its Dwarven kingdom and rich treasures.",Mount Erebor
Photographers love that The Sierra Madre Oriental in Mexico is a range known for its biodiversity and ancient history.,Sierra Madre Oriental
"In travel documentaries, Mount Tahat in Algeria is the highest peak in the Ahaggar Mountains, offering stunning desert views.",Mount Tahat
Legends say that The Mountain of Dhoom in Robert Jordan's Wheel of Time series is a place of great dread and significance.,Mountain of Dhoom
"Geologists have discovered that Mount Taranaki in New Zealand is known for its symmetrical cone shape, resembling Mount Fuji.","Mount Taranaki,Mount Fuji"
"Adventure seekers have noted that The Mountains of Madness, from H.P. Lovecraft's works, are a foreboding Antarctic range hiding ancient secrets.",Mountains of Madness
"According to ancient myths, Mount Damavand in Iran, a potentially active volcano, is the highest peak in the Middle East.",Mount Damavand
Environmental studies show that Mount Gagazet in the Final Fantasy X universe is a sacred mountain guarded by the Ronso tribe.,Mount Gagazet
"It is well-known that The Thunder Bluff in World of Warcraft is a towering mesa, home to the Tauren capital city.",Thunder Bluff
"Nature documentaries often highlight that Mount Ciremai in Indonesia is an active stratovolcano, revered as sacred by local communities.",Mount Ciremai
Experienced guides often say that The Celestial Mountains in Central Asia are a mythical range said to be home to the gods in ancient Chinese texts.,Celestial Mountains
"In the history of mountaineering, Mount Wilhelm in Papua New Guinea is the highest mountain in Oceania.",Mount Wilhelm
Environmental studies show that The Peaks of Peril in the adventure novel 'The Phantom Tollbooth' are a mountain range filled with dangers and challenges.,Peaks of Peril
"In the history of mountaineering, Mount Katahdin in Maine, USA, is the northern terminus of the Appalachian Trail.",Mount Katahdin
Nature enthusiasts enjoy that The Sierra de la Laguna in Mexico is known for its unique biosphere and diverse wildlife.,Sierra de la Laguna
Legends say that Mount Tongariro in New Zealand is a complex of volcanic cones and a popular hiking destination.,Mount Tongariro
Nature enthusiasts enjoy that The Black Mountains in the fictional realm of Westeros are known for their impenetrable fortresses and ancient battles.,Black Mountains
"Frequent climbers state that Mount Cook, known in Māori as Aoraki, is the highest mountain in New Zealand and a part of the Southern Alps.","Mount Cook,Aoraki,Southern Alps"
"In the realm of folklore, Mount Kazbek in Georgia, a dormant stratovolcano, is steeped in legends and offers challenging climbs.",Mount Kazbek
"In the history of mountaineering, The Mountain of the Sun in the fictional universe of Atreia is a revered and mystical peak.",Mountain of the Sun
"From a climber's perspective, The Shadow Mountains in David Lynch's film 'Dune' are a stark and imposing range on the planet Arrakis.",Shadow Mountains
The local lore suggests that Mount Teide in the Canary Islands is a volcano and Spain's highest peak.,Mount Teide
The local lore suggests that The Pillars of the Sky in the Elder Scrolls series are mythical mountains said to hold up the heavens.,Pillars of the Sky
"In the realm of folklore, Mount Logan in Canada is renowned for its extreme cold and massive base circumference.",Mount Logan
"According to explorers, The Phantom Mountain, in various legends, is a ghostly peak that appears and disappears mysteriously.",Phantom Mountain
"Photographers love that The Mountains of the Moon in African legend are a mythical range, believed to be the source of the Nile.",Mountains of the Moon
Photographers love that Mount Aconcagua in Argentina is the highest mountain in both the Southern and Western Hemispheres.,Mount Aconcagua
The local lore suggests that The Towering Mountains in the land of Xadia from 'The Dragon Prince' series are known for their mystical properties.,Towering Mountains
"In the realm of folklore, Mount Elgon, an extinct shield volcano on the Uganda-Kenya border, is known for its vast caldera.",Mount Elgon
Local traditions state that Mount Kosciuszko is the highest mountain in Australia and a popular hiking destination.,Mount Kosciuszko
"Travel guides mention that Mount Thor on Baffin Island, Canada, has the world's greatest purely vertical drop.",Mount Thor
"Legends say that The Frostback Basin in the Dragon Age universe is a remote, icy region dominated by towering peaks.",Frostback Basin
"Geologists have discovered that Mount Kenya, an ancient stratovolcano, is the second-highest peak in Africa.",Mount Kenya
Experienced guides often say that The Sunless Mountain in the Chronicles of Ancient Darkness series is a place of great danger and deep lore.,Sunless Mountain
"From a climber's perspective, Mount Gilboa in Israel is a biblical mountain, known for its historical and religious significance.",Mount Gilboa
"According to recent studies, The Sapphire Mountains in the fantasy world of Terfall are known for their blue-hued peaks and magical aura.",Sapphire Mountains
"Geologists have discovered that The Whispering Cliffs of Doruma, in the folklore of Alaran, are said to echo the voices of ancient spirits.",Whispering Cliffs of Doruma
"Tourists often find that Mount Galadriel, named after a character in 'The Lord of the Rings', is a fictional mountain renowned for its ethereal beauty in the land of Silvamora.",Mount Galadriel
"In the realm of folklore, Mount Inferno, a volcanic peak in the imaginary land of Pyrovia, is said to house a sleeping dragon whose breath heats the mountain's core.",Mount Inferno
"Photographers love that The Serpent's Spine, a range in the mythical empire of Ophidia, is rumored to be formed by the body of a colossal serpent turned to stone.",Serpent's Spine
"The local lore suggests that The Obsidian Cliffs of Nocturne, in the tales of Eclipsia, are mountains that shine with a dark, glass-like surface under the moonlight.",Obsidian Cliffs of Nocturne
